성별,졸업시기,급여,안정성,직무내용,근로시간,발전가능성,승진제도,직장만족도,전공적합도,이직
0,0,280,2,2,2,3,2,3,2,0
0,1,160,3,4,4,4,3,3,3,0
0,1,262,4,3,4,3,4,4,1,0
0,0,250,5,5,4,3,5,4,1,0
0,1,200,4,4,4,4,4,4,1,0
1,1,240,5,4,3,4,2,3,2,1
0,0,200,5,3,4,4,3,4,1,0
1,0,200,4,4,5,3,2,4,3,1
0,1,165,5,4,4,4,3,3,2,0
1,0,185,4,4,4,5,3,4,1,0
1,0,160,3,3,3,3,3,3,1,0
0,0,230,4,4,4,4,5,4,3,0
1,0,290,3,3,3,3,3,3,5,1
1,1,300,5,5,5,5,5,5,1,0
0,0,200,4,4,4,4,4,4,1,1
0,0,240,4,2,3,3,2,3,2,1
1,1,160,3,4,4,4,3,3,3,1
1,0,230,2,3,2,4,2,1,1,0
0,0,200,3,3,4,4,3,3,3,1
0,1,230,3,4,4,4,5,4,4,0
1,0,152,1,4,5,4,1,4,2,1
1,1,240,4,4,5,4,4,4,5,0
0,0,220,5,5,5,5,5,5,3,0
1,0,190,2,2,5,3,3,3,4,1
1,1,170,3,3,3,3,2,3,5,0
1,1,260,2,4,4,4,3,4,5,0
1,1,250,4,3,3,1,2,3,1,0
1,0,170,5,2,4,1,2,2,2,1
1,0,210,5,5,5,5,5,5,5,0
1,0,300,5,5,5,5,2,5,4,0
1,0,170,4,4,4,2,2,4,5,0
0,1,200,3,3,4,3,3,3,1,1
1,0,180,4,4,3,3,3,4,4,0
1,0,240,3,3,3,2,3,3,1,0
0,0,180,5,4,5,5,4,4,5,0
1,0,195,4,3,4,3,2,3,3,1
1,0,167,4,4,5,4,4,5,5,0
0,0,190,5,1,3,5,4,4,1,0
1,0,170,4,4,4,3,3,3,3,1
0,1,280,1,1,1,1,1,4,3,0
0,0,290,5,4,3,3,5,4,1,0
1,1,200,4,5,4,4,3,4,2,1
0,0,220,4,2,3,3,2,3,2,0
0,0,180,5,3,4,4,1,4,5,1
1,1,199,5,5,5,5,5,5,1,0
1,0,225,2,4,4,3,3,4,2,1
0,0,370,5,3,2,2,3,4,1,0
0,0,183,4,5,5,5,4,4,4,0
1,0,170,4,4,4,3,3,3,2,0
1,1,190,2,2,3,2,3,2,1,1
0,0,180,5,5,5,4,3,5,1,0
1,0,210,2,2,4,2,1,2,3,0
1,0,174,4,2,3,2,3,2,1,1
1,0,190,5,3,5,3,3,4,1,0
0,0,260,5,4,4,5,3,5,5,0
0,0,200,4,4,4,4,4,4,1,0
0,0,210,5,5,5,4,2,4,1,0
1,0,180,4,3,4,3,4,4,2,0
1,1,240,3,2,3,2,2,2,2,1
0,1,380,5,4,5,4,5,4,4,0
0,0,192,5,3,5,5,5,4,1,0
1,0,200,4,4,2,4,4,4,1,0
1,0,230,4,3,4,3,3,3,2,0
1,0,187,2,3,5,4,3,2,5,0
0,0,170,5,5,5,3,4,4,2,0
0,1,200,3,3,3,3,3,3,2,0
1,0,175,4,5,5,4,4,4,5,0
0,0,166,3,4,4,4,4,4,4,0
1,0,190,3,5,3,4,3,3,3,1
0,1,170,3,3,3,4,4,3,3,0
0,0,180,5,4,5,4,4,4,3,0
1,0,160,4,4,4,2,3,4,4,0
1,1,275,4,4,4,4,4,3,2,0
0,0,240,5,4,5,3,5,5,3,0
0,0,175,5,4,4,4,4,4,1,0
1,1,230,4,4,4,4,4,4,2,0
1,0,230,5,4,5,3,3,4,4,0
0,0,170,3,4,4,2,3,3,1,0
1,0,170,3,4,4,3,3,3,4,0
0,0,220,4,4,2,4,3,3,3,0
1,0,220,4,4,4,4,3,4,4,0
0,0,184,5,5,5,5,5,5,1,0
0,1,300,5,5,5,5,5,5,1,0
1,0,300,5,5,5,5,5,5,1,0
1,0,170,3,4,4,2,3,4,3,1
0,0,200,5,5,5,5,5,5,5,0
0,0,210,3,3,3,3,3,3,2,0
1,0,170,1,3,5,2,1,3,1,0
0,0,220,3,2,3,3,2,3,1,0
1,1,170,5,4,4,3,3,3,3,1
0,0,160,3,3,4,2,3,3,1,1
1,0,205,4,4,5,4,4,4,5,0
1,0,160,4,4,4,3,2,4,3,0
1,0,160,4,4,4,4,4,4,3,0
0,0,200,3,3,3,3,3,3,3,0
1,0,156,2,3,4,3,2,3,2,1
0,0,240,3,4,5,3,3,4,3,0
0,0,180,4,5,4,4,3,4,3,1
1,1,180,4,4,4,4,3,4,2,0
0,0,410,4,4,4,4,4,4,4,0
0,0,275,2,4,5,4,2,2,1,0
0,1,220,4,4,4,4,4,4,3,0
1,0,180,4,4,5,4,3,4,3,1
0,0,240,4,3,4,4,4,3,2,1
0,0,250,4,4,4,4,4,4,4,0
0,0,400,5,1,5,1,1,1,4,1
0,0,280,4,4,3,4,3,3,4,0
1,0,275,3,4,5,3,1,4,1,0
0,0,300,3,4,4,4,4,4,4,0
0,1,360,4,4,4,5,4,4,4,0
0,1,300,4,4,4,4,4,4,4,0
1,0,210,5,4,5,3,3,3,3,0
0,1,180,5,4,5,3,4,4,3,0
0,0,350,3,4,2,4,4,4,4,0
1,0,270,5,5,5,4,5,5,4,0
0,1,250,4,4,4,4,4,4,3,0
0,0,265,4,4,4,3,3,3,3,0
0,0,250,4,4,4,4,4,4,2,0
0,0,250,4,5,4,4,4,4,5,0
0,0,230,3,3,3,3,3,3,3,1
0,1,260,4,3,4,4,4,4,5,0
0,0,180,4,3,4,5,4,4,4,0
1,0,215,4,3,2,3,4,3,4,0
1,0,220,3,2,5,3,3,3,5,0
0,0,250,4,4,4,3,4,4,4,0
0,0,350,4,4,4,4,4,4,5,0
0,0,300,4,5,4,4,4,4,4,0
0,0,380,4,4,4,4,4,4,4,0
0,0,225,4,5,4,5,5,4,3,0
0,0,280,3,3,3,3,3,3,3,0
0,1,400,5,5,5,5,5,5,4,0
0,0,225,4,2,5,2,3,2,1,1
